,Word,Pinyin,OtherPinyin,Level,First Translation,Other Translations
2230,沖,chōng,,6,(of water) to dash against,"to mix with water, to infuse, to rinse, to flush, to develop (a film), to rise in the air, to clash, to collide with"
4298,衝,chōng,,7,thoroughfare,"to go straight ahead, to rush, to clash, powerful, vigorous, pungent, towards, in view of"
2242,出事,chūshì,,6,to have an accident,to meet with a mishap
4324,出示,chūshì,,7,to show,"to take out and show to others, to display"
974,炒,chǎo,,5,to sauté,"to stir-fry, to speculate, to hype, to fire (sb)"
601,吵,chǎo,,4,to quarrel,"to make a noise, noisy, to disturb by making a noise"
963,層,céng,,5,layer,"stratum, laminated, floor (of a building), storey, classifier for layers, repeated, sheaf (math.)"
964,曾,céng,,5,once,"already, ever (in the past), former, previously, (past tense marker used before verb or clause), great-grand (father, child etc), surname Zeng"
4355,辭典,cídiǎn,,7,dictionary (of Chinese compound words),"also written 詞典|词典[ci2 dian3], CL:本[ben3],部[bu4]"
2267,詞典,cídiǎn,,6,dictionary (of Chinese compound words),"also written 辭典|辞典[ci2 dian3], CL:部[bu4],本[ben3]"
2375,吊,diào,,6,a string of 100 cash (arch.),"to lament, to condole with, variant of 吊[diao4]"
735,掉,diào,,4,to fall,"to drop, to lag behind, to lose, to go missing, to reduce, fall (in prices), to lose (value, weight etc), to wag, to swing, to turn, to change, to exchange, to swap, to show off, to shed (hair), (used after certain verbs to express completion, fulfillment, removal etc)"
2376,釣,diào,,6,to fish with a hook and bait,
248,帶,dài,,2,band,"belt, girdle, ribbon, tire, area, zone, region, to wear, to carry, to take along, to bear (i.e. to have), to lead, to bring, to look after, to raise, CL:條|条[tiao2]"
778,戴,dài,,4,"to put on or wear (glasses, hat, gloves etc)","to respect, to bear, to support, surname Dai"
2320,帶子,dàizi,,6,belt,"band, ribbon, strap, girdle, (coll.) audio or video tape"
747,袋子,dàizi,,4,bag,
1041,淡,dàn,,5,insipid,"diluted, weak, mild, light in color, tasteless, fresh, indifferent, nitrogen"
438,蛋,dàn,,3,egg,"oval-shaped thing, variant of 蜑[Dan4], CL:個|个[ge4],打[da2]"
1048,當作,dàngzuò,,5,to treat as,to regard as
1049,當做,dàngzuò,,5,to treat as,"to regard as, to look upon as"
4415,道士,dàoshì,,7,Daoist priest,
1059,倒是,dàoshì,,5,contrary to what one might expect,"actually, contrariwise, why don't you"
48,第,dì,,1,"(prefix indicating ordinal number, e.g. first, number two etc)","order, (old) rank in the imperial examinations, mansion, (literary) but, just"
2358,遞,dì,,6,to hand over,"to pass on sth, to gradually increase or decrease, progressively"
1084,訂,dìng,,5,to agree,"to conclude, to draw up, to subscribe to (a newspaper etc), to order"
4466,釘,dìng,,7,nail,"to follow closely, to keep at sb (to do sth), to join things together by fixing them in place at one or more points, to nail, to pin, to staple, to sew on, variant of 盯[ding1]"
4442,地域,dìyù,,7,area,"district, region"
4443,地獄,dìyù,,7,hell,"infernal, underworld"
2391,棟,dòng,,6,classifier for houses or buildings,ridgepole (old)
2390,凍,dòng,,6,to freeze,"to feel very cold, aspic or jelly"
2389,洞,dòng,,6,cave,"hole, zero (unambiguous spoken form when spelling out numbers), CL:個|个[ge4]"
1104,頓,dùn,,5,to stop,"to pause, to arrange, to lay out, to kowtow, to stamp (one's foot), at once, classifier for meals, beatings, scoldings etc: time, bout, spell, meal"
2414,噸,dùn,,6,ton (loanword),Taiwan pr. [dun4]
596,燈,dēng,,4,lamp,"light, lantern, CL:盞|盏[zhan3]"
2346,登,dēng,,6,to scale (a height),"to ascend, to mount, to publish or record, to enter (e.g. in a register), to press down with the foot, to step or tread on, to put on (shoes or trousers) (dialect), to be gathered and taken to the threshing ground (old)"
1066,低,dī,,5,low,"beneath, to lower (one's head), to let droop, to hang down, to incline"
2354,滴,dī,,6,a drop,to drip
2379,丁,dīng,,6,fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1],"fourth in order, letter ""D"" or Roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc, ancient Chinese compass point: 195°, butyl, cubes (of food), surname Ding"
2380,盯,dīng,,6,to watch attentively,"to fix one's attention on, to stare at, to gaze at"
